Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Agur,10/5/2021 19:31,0:05:10,,Kate,,Apple iPad Pro 4 9 (TBD) iPad,0:35:57,Not latest view,LV (Latvia)
Agur,10/5/2021 19:00,0:30:17,,Crank,,Apple iPad Pro 4 9 (TBD) iPad,1:27:40,1:27:40,LV (Latvia)
Agur,10/3/2021 20:35,0:00:04,Autoplayed: user action: User_Interaction; ,The Code: Season 2: Episode 1,,Safari MAC (Cadmium),0:00:15,0:00:15,EE (Estonia)
Agur,10/3/2021 19:35,0:54:47,,The Guilty,,Safari MAC (Cadmium),1:26:42,1:26:42,EE (Estonia)
Agur,10/3/2021 19:35,0:00:11,,The Code: Season 2: Episode 1,,Safari MAC (Cadmium),0:00:11,Not latest view,EE (Estonia)
Agur,10/3/2021 19:21,0:02:01,,Trailer: The Guilty,TRAILER,Safari MAC (Cadmium),0:00:00,0:00:00,EE (Estonia)
Agur,9/30/2021 19:46,0:00:20,,Black and Blue,,Apple iPad Pro 4 9 (TBD) iPad,0:00:31,0:00:31,EE (Estonia)
Agur,9/29/2021 21:01,0:30:47,,Kate,,Safari MAC (Cadmium),0:30:47,Not latest view,EE (Estonia)
Agur,9/29/2021 21:01,0:00:45,Autoplayed: user action: None; ,Trailer: Kate,TRAILER,Safari MAC (Cadmium),0:00:45,0:00:45,EE (Estonia)
Agur,9/29/2021 19:49,1:07:07,,The Girl in the Spider's Web,,Safari MAC (Cadmium),1:51:05,1:51:05,EE (Estonia)
Agur,9/29/2021 19:49,0:00:08,Autoplayed: user action: User_Interaction; ,Messiah: Season 1: He That Hath an Ear (Episode 1),,Safari MAC (Cadmium),0:00:12,0:00:12,EE (Estonia)
Agur,9/29/2021 19:49,0:00:09,Autoplayed: user action: None; ,Season 1 Trailer: Messiah,TRAILER,Safari MAC (Cadmium),0:00:09,0:00:09,EE (Estonia)
Agur,9/27/2021 20:31,0:43:18,,The Girl in the Spider's Web,,Safari MAC (Cadmium),0:44:08,Not latest view,EE (Estonia)
Agur,9/27/2021 20:31,0:42:47,,The Girl in the Spider's Web,,Safari MAC (Cadmium),0:43:37,Not latest view,EE (Estonia)
Agur,9/27/2021 20:31,0:00:35,Autoplayed: user action: None; ,The Girl in the Spider's Web_hook_primary_16x9,HOOK,Safari MAC (Cadmium),0:00:35,0:00:35,EE (Estonia)
Agur,9/27/2021 20:30,0:00:23,Autoplayed: user action: None; ,The Kingdom_hook_primary_16x9,HOOK,Safari MAC (Cadmium),0:00:23,0:00:23,EE (Estonia)
Agur,9/27/2021 20:30,0:00:33,Autoplayed: user action: None; ,Man on Fire_hook_02_16x9,HOOK,Safari MAC (Cadmium),0:00:33,0:00:33,EE (Estonia)
Agur,9/27/2021 20:29,0:00:15,Autoplayed: user action: None; ,Villain Clip: Intrusion,HOOK,Safari MAC (Cadmium),0:00:15,0:00:15,EE (Estonia)
Agur,9/27/2021 19:52,0:15:04,,The Accountant,,Safari MAC (Cadmium),2:05:37,2:05:37,EE (Estonia)
Agur,9/27/2021 19:52,0:00:08,Autoplayed: user action: None; ,Supporting Character Clip: Braqueurs: La série: Season 1,HOOK,Safari MAC (Cadmium),0:00:08,0:00:08,EE (Estonia)
Agur,9/27/2021 18:37,0:00:09,Autoplayed: user action: None; ,Moment of High Emotion Clip: Schumacher,HOOK,Safari MAC (Cadmium),0:00:09,0:00:09,EE (Estonia)
Agur,9/27/2021 18:35,0:01:05,Autoplayed: user action: None; ,Supporting Character Clip: Braqueurs: La série: Season 1,HOOK,Safari MAC (Cadmium),0:00:00,Not latest view,EE (Estonia)
Agur,9/23/2021 20:33,0:53:04,,The Accountant,,Netflix Chrome MAC (Cadmium) HTML 5,1:46:44,Not latest view,EE (Estonia)
Agur,9/23/2021 19:22,0:01:13,Autoplayed: user action: None; ,Season 1 Plot Clip: Squid Game,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,EE (Estonia)
Agur,9/19/2021 17:22,0:53:10,,The Accountant,,Apple iPad Pro 4 9 (TBD) iPad,0:53:40,Not latest view,EE (Estonia)
Agur,9/17/2021 20:55,0:00:46,,Crank,,Netflix Chrome MAC (Cadmium) HTML 5,0:00:56,Not latest view,EE (Estonia)
Agur,9/17/2021 20:55,0:00:10,Autoplayed: user action: None; ,Crank_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:10,0:00:10,EE (Estonia)
Agur,9/17/2021 20:55,0:00:11,Autoplayed: user action: User_Interaction; ,Hit & Run: Season 1: Hit & Run (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:11,0:00:11,EE (Estonia)
Agur,9/17/2021 20:54,0:00:07,Autoplayed: user action: None; ,Season 1 Portrait Product Preview: Hit & Run,PREVIEW,Netflix Chrome MAC (Cadmium) HTML 5,0:00:07,0:00:07,EE (Estonia)
Agur,9/17/2021 20:53,0:00:04,Autoplayed: user action: None; ,Unit 42: Season 1 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:04,0:00:04,EE (Estonia)
Agur,9/17/2021 20:53,0:00:08,Autoplayed: user action: None; ,Crank_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:08,Not latest view,EE (Estonia)
Agur,9/17/2021 19:49,0:46:00,,Hit & Run: Season 1: Search & Destroy (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:50:49,0:50:49,EE (Estonia)
Agur,9/17/2021 19:44,0:05:42,,Hit & Run: Season 1: Prose & Cons (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:43:14,0:43:14,EE (Estonia)
Agur,9/17/2021 19:43,0:00:21,,The Stronghold,,Netflix Chrome MAC (Cadmium) HTML 5,0:00:21,0:00:21,EE (Estonia)
Agur,9/17/2021 19:43,0:00:19,Autoplayed: user action: None; ,Trailer: The Stronghold,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:19,0:00:19,EE (Estonia)
Agur,9/12/2021 20:26,0:00:29,Autoplayed: user action: User_Interaction; ,Hit & Run: Season 1: Prose & Cons (Episode 8),,Safari MAC (Cadmium),0:37:32,Not latest view,EE (Estonia)
Agur,9/12/2021 19:44,0:36:13,,Hit & Run: Season 1: Prose & Cons (Episode 8),,Safari MAC (Cadmium),0:37:03,Not latest view,EE (Estonia)
Agur,9/12/2021 18:50,0:34:51,,Hit & Run: Season 1: Part & Parcel (Episode 7),,Safari MAC (Cadmium),0:38:48,0:38:48,EE (Estonia)
Agur,9/12/2021 18:50,0:00:07,Autoplayed: user action: None; ,Wu Assassins: Asian American Diner (Rich Hook),HOOK,Safari MAC (Cadmium),0:00:07,0:00:07,EE (Estonia)
Agur,9/11/2021 17:59,0:02:13,,Hit & Run: Season 1: Part & Parcel (Episode 7),,Apple iPad Pro 4 9 (TBD) iPad,0:03:57,Not latest view,EE (Estonia)
Agur,9/10/2021 21:44,0:01:38,,Hit & Run: Season 1: Part & Parcel (Episode 7),,Safari MAC (Cadmium),0:02:42,Not latest view,EE (Estonia)
Agur,9/10/2021 21:44,0:00:58,,Hit & Run: Season 1: Part & Parcel (Episode 7),,Safari MAC (Cadmium),0:02:02,Not latest view,EE (Estonia)
Agur,9/10/2021 21:03,0:40:30,Autoplayed: user action: User_Interaction; ,Hit & Run: Season 1: Hide & Seek (Episode 6),,Safari MAC (Cadmium),0:42:02,0:42:02,EE (Estonia)
Agur,9/10/2021 20:28,0:35:37,,Hit & Run: Season 1: Flesh & Blood (Episode 5),,Safari MAC (Cadmium),0:36:39,0:36:39,EE (Estonia)
Agur,9/10/2021 20:23,0:04:55,,Hit & Run: Season 1: Breaking & Entering (Episode 4),,Safari MAC (Cadmium),0:45:09,0:45:09,EE (Estonia)
Agur,9/10/2021 20:22,0:00:28,Autoplayed: user action: None; ,Season 5 Trailer: Jack Whitehall: Travels with My Father,TRAILER,Safari MAC (Cadmium),0:00:28,0:00:28,EE (Estonia)
Agur,9/7/2021 20:04,0:10:18,,Hit & Run: Season 1: Breaking & Entering (Episode 4),,Apple iPad Pro 4 9 (TBD) iPad,0:40:14,Not latest view,LV (Latvia)
Agur,9/6/2021 21:51,0:28:54,,Hit & Run: Season 1: Breaking & Entering (Episode 4),,Safari MAC (Cadmium),0:29:56,Not latest view,LV (Latvia)
Agur,9/6/2021 21:10,0:41:17,,Hit & Run: Season 1: Friends & Foes (Episode 3),,Safari MAC (Cadmium),0:42:24,0:42:24,LV (Latvia)
Agur,9/6/2021 20:52,0:17:50,,Hit & Run: Season 1: Love & Loss (Episode 2),,Safari MAC (Cadmium),0:55:10,0:55:10,LV (Latvia)
Agur,9/6/2021 20:52,0:00:15,Autoplayed: user action: User_Interaction; ,New Amsterdam: Season 1: Rituals (Episode 2),,Safari MAC (Cadmium),0:00:15,0:00:15,LV (Latvia)
Agur,9/6/2021 20:51,0:01:00,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_primary_16x9,HOOK,Safari MAC (Cadmium),0:01:00,0:01:00,LV (Latvia)
Agur,8/30/2021 21:49,0:17:58,,Hit & Run: Season 1: Love & Loss (Episode 2),,Apple iPad Pro 4 9 (TBD) iPad,0:37:20,Not latest view,NL (Netherlands)
Agur,8/30/2021 21:48,0:00:02,,Clickbait: Limited Series: The Sister (Episode 1),,Apple iPad Pro 4 9 (TBD) iPad,0:00:03,0:00:03,NL (Netherlands)
Agur,8/30/2021 21:46,0:00:05,,StartUp: Season 1: Seed Money (Episode 1),,Apple iPad Pro 4 9 (TBD) iPad,0:00:06,0:00:06,NL (Netherlands)
Agur,8/30/2021 21:46,0:00:34,Autoplayed: user action: None; ,StartUp: Season 1_hook_primary_16x9,HOOK,Apple iPad Pro 4 9 (TBD) iPad,0:00:34,Not latest view,NL (Netherlands)
Agur,8/30/2021 21:08,0:37:12,,SAS: Rise of the Black Swan,,Apple iPad Pro 4 9 (TBD) iPad,1:59:05,1:59:05,NL (Netherlands)
Agur,8/29/2021 17:41,0:13:24,,Friends: Season 1: The One with Mrs. Bing (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:13:24,0:13:24,NL (Netherlands)
Agur,8/29/2021 16:52,0:22:41,,Friends: Season 1: The One with the Monkey (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:42,0:22:42,NL (Netherlands)
Agur,8/29/2021 16:30,0:22:41,,Friends: Season 1: The One Where Underdog Gets Away (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:41,0:22:41,NL (Netherlands)
Agur,8/29/2021 16:07,0:22:39,,Friends: Season 1: The One Where Nana Dies Twice (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:40,0:22:40,NL (Netherlands)
Agur,8/29/2021 15:57,0:09:53,,Friends: Season 1: The One with the Blackout (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:30,0:22:30,NL (Netherlands)
Agur,8/29/2021 15:56,0:00:29,,Friends: Season 1: The One with the Butt (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:20:42,0:20:42,NL (Netherlands)
Agur,8/29/2021 15:56,0:00:08,Autoplayed: user action: User_Interaction; ,Friends: Season 1: The One with the Butt (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:07:59,Not latest view,NL (Netherlands)
Agur,8/28/2021 21:18,0:07:50,Autoplayed: user action: None; ,Friends: Season 1: The One with the Butt (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:07:51,Not latest view,NL (Netherlands)
Agur,8/28/2021 20:56,0:22:40,,Friends: Season 1: The One with the East German Laundry Detergent (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:41,0:22:41,NL (Netherlands)
Agur,8/28/2021 20:33,0:22:41,,Friends: Season 1: The One with George Stephanopoulos (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:41,0:22:41,NL (Netherlands)
Agur,8/28/2021 20:10,0:22:46,,Friends: Season 1: The One with the Thumb (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:46,0:22:46,NL (Netherlands)
Agur,8/28/2021 19:47,0:22:46,,Friends: Season 1: The One with the Sonogram at the End (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:47,0:22:47,NL (Netherlands)
Agur,8/28/2021 19:24,0:22:44,,Friends: Season 1: The One Where Monica Gets a Roommate (Pilot) (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:22:44,0:22:44,NL (Netherlands)
Agur,8/28/2021 19:24,0:00:05,Autoplayed: user action: None; ,Friends: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:05,0:00:05,NL (Netherlands)
Agur,8/28/2021 19:24,0:00:06,Autoplayed: user action: None; ,Black and Blue_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:06,0:00:06,NL (Netherlands)
Agur,8/28/2021 19:05,0:02:06,,Blood Red Sky,,Netflix Chrome MAC (Cadmium) HTML 5,0:02:06,0:02:06,NL (Netherlands)
Agur,8/28/2021 19:05,0:00:04,Autoplayed: user action: None; ,Trailer: Blood Red Sky,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:04,0:00:04,NL (Netherlands)
Agur,8/28/2021 19:04,0:00:16,Autoplayed: user action: None; ,Sniper: Assassin's End_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:16,0:00:16,NL (Netherlands)
Agur,8/28/2021 19:04,0:00:07,Autoplayed: user action: None; ,For Life: For Life: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:07,0:00:07,NL (Netherlands)
Agur,8/28/2021 19:04,0:00:18,Autoplayed: user action: None; ,Genre Specific Moment Clip: Clickbait,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:18,0:00:18,NL (Netherlands)
Agur,8/28/2021 19:04,0:00:05,Autoplayed: user action: None; ,Welcome to Nairobi's Team,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:05,0:00:05,NL (Netherlands)
Agur,8/28/2021 19:03,0:00:33,Autoplayed: user action: None; ,Trailer: Blood Red Sky,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:33,Not latest view,NL (Netherlands)
Agur,8/28/2021 19:02,0:00:08,Autoplayed: user action: None; ,Homeland: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:08,0:00:08,NL (Netherlands)
Agur,8/27/2021 21:14,1:21:12,,SAS: Rise of the Black Swan,,Apple iPad Pro 4 9 (TBD) iPad,1:21:43,Not latest view,BE (Belgium)
Agur,8/26/2021 21:19,0:15:59,,Hit & Run: Season 1: Love & Loss (Episode 2),,Apple iPad Pro 4 9 (TBD) iPad,0:19:21,Not latest view,NL (Netherlands)
Agur,8/26/2021 20:45,0:33:00,,Beckett,,Apple iPad Pro 4 9 (TBD) iPad,1:42:54,1:42:54,NL (Netherlands)
Agur,8/25/2021 21:17,0:06:40,,Beckett,,Apple iPad Pro 4 9 (TBD) iPad,1:09:54,Not latest view,NL (Netherlands)
Agur,8/25/2021 20:24,0:42:13,,Beckett,,Apple iPad Pro 4 9 (TBD) iPad,1:03:14,Not latest view,NL (Netherlands)
Agur,8/25/2021 9:00,0:20:31,,Beckett,,Apple iPad Pro 4 9 (TBD) iPad,0:21:01,Not latest view,NL (Netherlands)
Agur,8/24/2021 17:36,0:02:18,,Hit & Run: Season 1: Love & Loss (Episode 2),,Apple iPad Pro 4 9 (TBD) iPad,0:03:22,Not latest view,NL (Netherlands)
Agur,8/24/2021 17:30,0:06:01,,Hit & Run: Season 1: Hit & Run (Episode 1),,Apple iPad Pro 4 9 (TBD) iPad,0:51:08,Not latest view,NL (Netherlands)
Agur,8/23/2021 20:54,0:45:05,,Hit & Run: Season 1: Hit & Run (Episode 1),,Apple iPad Pro 4 9 (TBD) iPad,0:45:06,Not latest view,NL (Netherlands)
Agur,8/23/2021 19:57,0:56:31,,Sweet Girl,,Apple iPad Pro 4 9 (TBD) iPad,1:50:08,1:50:08,NL (Netherlands)
Agur,8/22/2021 20:07,0:46:01,,Sweet Girl,,Apple iPad Pro 4 9 (TBD) iPad,0:46:01,Not latest view,DE (Germany)
Agur,7/5/2021 11:53,0:19:06,,Silver Spoon: Season 2: Episode 12,,Apple iPad Pro 4 9 (TBD) iPad,0:50:05,0:50:05,EE (Estonia)
Agur,7/5/2021 9:18,0:30:12,,Silver Spoon: Season 2: Episode 12,,Apple iPad Pro 4 9 (TBD) iPad,0:30:59,Not latest view,EE (Estonia)
Agur,7/5/2021 8:25,0:51:01,,Silver Spoon: Season 2: Episode 11,,Apple iPad Pro 4 9 (TBD) iPad,0:51:56,0:51:56,EE (Estonia)
Agur,7/5/2021 7:18,0:51:39,,Silver Spoon: Season 2: Episode 10,,Apple iPad Pro 4 9 (TBD) iPad,0:52:27,0:52:27,EE (Estonia)
Agur,7/5/2021 6:44,0:29:25,,Silver Spoon: Season 2: Episode 9,,Apple iPad Pro 4 9 (TBD) iPad,0:52:13,0:52:13,EE (Estonia)
Agur,7/4/2021 20:54,0:21:59,,Silver Spoon: Season 2: Episode 9,,Apple iPad Pro 4 9 (TBD) iPad,0:22:44,Not latest view,EE (Estonia)
Agur,7/4/2021 20:03,0:49:46,,Silver Spoon: Season 2: Episode 8,,Apple iPad Pro 4 9 (TBD) iPad,0:52:39,0:52:39,EE (Estonia)
Agur,7/4/2021 18:59,0:50:00,,Silver Spoon: Season 2: Episode 7,,Apple iPad Pro 4 9 (TBD) iPad,0:50:28,0:50:28,EE (Estonia)
Agur,7/4/2021 18:57,0:01:04,,Silver Spoon: Season 2: Episode 6,,Apple iPad Pro 4 9 (TBD) iPad,0:51:02,0:51:02,EE (Estonia)
Agur,7/4/2021 18:03,0:11:02,,Silver Spoon: Season 2: Episode 6,,Apple iPad Pro 4 9 (TBD) iPad,0:49:56,Not latest view,EE (Estonia)
Agur,7/1/2021 20:43,0:38:46,Autoplayed: user action: User_Interaction; ,Silver Spoon: Season 2: Episode 6,,Netflix Chrome MAC (Cadmium) HTML 5,0:38:52,Not latest view,EE (Estonia)
Agur,7/1/2021 20:29,0:14:08,,Silver Spoon: Season 2: Episode 5,,Netflix Chrome MAC (Cadmium) HTML 5,0:52:20,0:52:20,EE (Estonia)
Agur,7/1/2021 20:29,0:00:05,Autoplayed: user action: User_Interaction; ,New Amsterdam: Season 1: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:05,0:00:05,EE (Estonia)
Agur,7/1/2021 20:27,0:01:33,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,EE (Estonia)
Agur,6/30/2021 21:01,0:37:26,,Silver Spoon: Season 2: Episode 5,,Apple iPad Pro 4 9 (TBD) iPad,0:38:12,Not latest view,EE (Estonia)
Agur,6/30/2021 19:52,0:39:51,,Silver Spoon: Season 2: Episode 4,,Apple iPad Pro 4 9 (TBD) iPad,0:51:22,0:51:22,EE (Estonia)
Agur,6/30/2021 19:15,0:11:10,,Silver Spoon: Season 2: Episode 4,,Apple iPad Pro 4 9 (TBD) iPad,0:11:29,Not latest view,EE (Estonia)
Agur,6/30/2021 18:50,0:19:47,,Silver Spoon: Season 2: Episode 3,,Apple iPad Pro 4 9 (TBD) iPad,0:51:13,0:51:13,EE (Estonia)
Agur,6/30/2021 18:48,0:00:35,,Silver Spoon: Season 2: Episode 3,,Apple iPad Pro 4 9 (TBD) iPad,0:31:39,Not latest view,EE (Estonia)
Agur,6/30/2021 18:13,0:21:03,,Silver Spoon: Season 2: Episode 3,,Apple iPad Pro 4 9 (TBD) iPad,0:31:13,Not latest view,EE (Estonia)
Agur,6/29/2021 21:52,0:11:04,,Silver Spoon: Season 2: Episode 3,,Apple iPad Pro 4 9 (TBD) iPad,0:10:47,Not latest view,EE (Estonia)
Agur,6/29/2021 21:00,0:49:11,,Silver Spoon: Season 2: Episode 2,,Apple iPad Pro 4 9 (TBD) iPad,0:47:47,0:47:47,EE (Estonia)
Agur,6/29/2021 19:57,0:35:48,,Silver Spoon: Season 2: Episode 1,,Apple iPad Pro 4 9 (TBD) iPad,0:48:39,0:48:39,EE (Estonia)
Agur,6/26/2021 19:17,0:11:37,,Silver Spoon: Season 2: Episode 1,,Apple iPad Pro 4 9 (TBD) iPad,0:12:47,Not latest view,EE (Estonia)
Agur,4/17/2021 20:54,0:31:04,,The Blacklist: Season 8: Captain Kidd (no. 96) (Episode 11),,Apple iPad Pro 4 9 (TBD) iPad,0:35:27,0:35:27,EE (Estonia)
Agur,4/17/2021 18:09,1:31:07,,Sky High,,Apple iPad Pro 4 9 (TBD) iPad,2:01:57,2:01:57,EE (Estonia)
Agur,4/16/2021 19:06,0:20:35,,Sky High,,Apple iPad Pro 4 9 (TBD) iPad,0:26:53,Not latest view,EE (Estonia)
Agur,4/14/2021 21:13,0:06:04,,Sky High,,Apple iPad Pro 4 9 (TBD) iPad,0:06:04,Not latest view,EE (Estonia)
Agur,4/14/2021 21:11,0:01:23,Autoplayed: user action: None; ,Trailer: Sky High,TRAILER,Apple iPad Pro 4 9 (TBD) iPad,0:01:23,0:01:23,EE (Estonia)
Agur,4/14/2021 20:59,0:11:30,,Blackhat,,Apple iPad Pro 4 9 (TBD) iPad,2:12:59,2:12:59,EE (Estonia)
Agur,4/12/2021 20:00,1:06:57,,Blackhat,,Apple iPad Pro 4 9 (TBD) iPad,1:53:29,Not latest view,EE (Estonia)
Agur,4/10/2021 20:33,0:46:42,,Blackhat,,Apple iPad Pro 4 9 (TBD) iPad,0:47:12,Not latest view,EE (Estonia)
Agur,4/9/2021 21:02,0:03:37,,The Blacklist: Season 8: Captain Kidd (no. 96) (Episode 11),,Apple iPad Pro 4 9 (TBD) iPad,0:04:22,Not latest view,EE (Estonia)
Agur,4/9/2021 21:00,0:00:44,,The Blacklist: Season 8: Captain Kidd (no. 96) (Episode 11),,Apple iPad Pro 4 9 (TBD) iPad,0:00:45,Not latest view,EE (Estonia)
Agur,4/9/2021 20:25,0:34:45,,The Blacklist: Season 8: Dr. Laken Perillos (no. 70) (Episode 10),,Apple iPad Pro 4 9 (TBD) iPad,0:42:24,0:42:24,EE (Estonia)
Agur,4/5/2021 20:51,0:07:38,,The Blacklist: Season 8: Dr. Laken Perillos (no. 70) (Episode 10),,Apple iPad Pro 4 9 (TBD) iPad,0:07:39,Not latest view,EE (Estonia)
Agur,4/5/2021 20:09,0:42:26,,The Blacklist: Season 8: The Cyranoid (no. 35) (Episode 9),,Apple iPad Pro 4 9 (TBD) iPad,0:42:27,0:42:27,EE (Estonia)
Agur,4/5/2021 19:21,0:34:27,,The Blacklist: Season 8: Ogden Greeley (no. 40) (Episode 8),,Apple iPad Pro 4 9 (TBD) iPad,0:42:27,0:42:27,EE (Estonia)
Agur,4/3/2021 21:13,0:07:58,,The Blacklist: Season 8: Ogden Greeley (no. 40) (Episode 8),,Apple iPad Pro 4 9 (TBD) iPad,0:07:59,Not latest view,EE (Estonia)
Agur,4/3/2021 20:47,0:25:27,,The Blacklist: Season 8: Chemical Mary (no. 143) (Episode 7),,Apple iPad Pro 4 9 (TBD) iPad,0:42:25,0:42:25,EE (Estonia)
Agur,4/3/2021 20:47,0:00:09,,The Blacklist: Season 8: Elizabeth Keen (no. 1) (Episode 4),,Apple iPad Pro 4 9 (TBD) iPad,0:42:59,0:42:59,EE (Estonia)
Agur,4/3/2021 19:42,0:10:17,,The Blacklist: Season 8: Chemical Mary (no. 143) (Episode 7),,Apple iPad Pro 4 9 (TBD) iPad,0:17:11,Not latest view,EE (Estonia)
Agur,4/3/2021 19:42,0:00:24,,The Blacklist: Season 8: The Wellstone Agency (no. 127) (Episode 6),,Apple iPad Pro 4 9 (TBD) iPad,0:42:58,0:42:58,EE (Estonia)
Agur,4/3/2021 19:41,0:00:36,,The Blacklist: Season 8: The Fribourg Confidence (no. 140) (Episode 5),,Apple iPad Pro 4 9 (TBD) iPad,0:42:30,0:42:30,EE (Estonia)
Agur,4/3/2021 19:40,0:01:47,,The Blacklist: Season 8: Elizabeth Keen (no. 1) (Episode 4),,Apple iPad Pro 4 9 (TBD) iPad,0:42:23,Not latest view,EE (Estonia)
Agur,4/2/2021 21:24,0:03:24,,The Blacklist: Season 8: Chemical Mary (no. 143) (Episode 7),,Apple iPad Pro 4 9 (TBD) iPad,0:04:14,Not latest view,EE (Estonia)
Agur,4/2/2021 20:29,0:42:54,,The Blacklist: Season 8: The Wellstone Agency (no. 127) (Episode 6),,Apple iPad Pro 4 9 (TBD) iPad,0:42:54,Not latest view,EE (Estonia)
Agur,4/2/2021 19:46,0:42:28,,The Blacklist: Season 8: The Fribourg Confidence (no. 140) (Episode 5),,Apple iPad Pro 4 9 (TBD) iPad,0:42:29,Not latest view,EE (Estonia)
Agur,4/2/2021 18:54,0:44:15,,The Blacklist: Season 8: Elizabeth Keen (no. 1) (Episode 4),,Apple iPad Pro 4 9 (TBD) iPad,0:42:24,Not latest view,EE (Estonia)
Agur,3/27/2021 22:11,0:16:33,,Spycraft: Season 1: Special Ops and the Saboteur (Episode 6),,Apple iPad Pro 4 9 (TBD) iPad,0:16:43,0:16:43,EE (Estonia)
